COUNTRY,CODE,PROCAN,BRECAN,CERCAN,STOCAN,ESOCAN,PANCAN,LUNCAN,COLCAN,LIVCAN,SMPREV,OWPREV,ACSHAR,GEOLAT,GEOLON
Ghana,GHA,17.46,17.21,9.48,8.65,3.52,9.58,9.26,8.76,6,3.9000001,32,2.75,7.946527,-1.023194
Greece,GRC,8.74,11.74,1.57,8.05,1.39,9.98,37.6,14.87,3.21,35.5,62.3,10.18,39.074208,21.824312
Greenland,GRL,7.07,9.84,4.29,10.82,13.13,19.29,78.23,31.38,6.35,,,,71.706936,-42.604303
Grenada,GRD,36.43,16.46,8.93,10.43,6.66,9.75,14.42,19.29,3.13,9.3999996,51.4,9.48,12.262776,-61.604171
Guam,GUM,7.5,9.09,3.03,5.74,2.65,5.26,31.94,14.16,5.79,,,,13.444304,144.793731
Guatemala,GTM,12.99,5.96,10.26,27.97,2.23,4.73,8.34,9.09,4.81,6.3000002,55.9,2.45,15.783471,-90.230759
Guinea,GIN,17.87,9.89,18.27,16.24,2.02,1.91,10.75,7.24,34.05,6.3000002,26.6,1.11,9.945587,-9.696645
Guinea-Bissau,GNB,13.91,12.42,16,19.24,6.42,4.72,13.81,9.06,6.36,6.5999999,29.9,5.38,11.803749,-15.180413
Guyana,GUY,26.88,13.58,11.09,8.87,2.18,6.14,8.99,14.68,3.2,15.3,49.4,6.89,4.860416,-58.93018
Haiti,HTI,28.25,15.49,14.71,15.99,3.75,2.54,12,10.53,4.42,7.0999999,54.9,2.73,18.971187,-72.285215
Honduras,HND,10.78,7.17,5.9,15.88,1.8,4.61,24.08,7.65,16.14,11.3,55.8,3.76,15.199999,-86.241905
Hungary,HUN,7.39,11.78,2.86,8.57,3.61,12.02,48.12,28.56,2.65,26.6,61.6,11.35,47.162494,19.503304
Iceland,ISL,10.21,7.73,0.98,4.59,3.92,8.12,26.49,11.81,2.84,14.4,59.1,9.12,64.963051,-19.020835
India,IND,3.54,7.12,3.74,7.32,3.49,3.13,8.07,7.5,2.75,12.6,19.7,5.54,20.593684,78.96288
Indonesia,IDN,7.43,10.69,3.69,6.82,2.51,5.4,24.43,15.58,2.45,30.200001,28.2,0.57,-0.789275,113.921327
Iran,IRN,6.52,5.99,1.03,16.17,4.54,4.89,12.88,9.31,3.64,12.1,61.6,1.03,32.427908,53.688046
Iraq,IRQ,5.26,11.1,1.23,5.71,1.3,6.12,19.86,8.32,6.07,16.5,64.6,0.39,33.223191,43.679291
Ireland,IRL,10.07,10.98,1.46,5.79,6.41,9.16,28.79,18.01,3.4,24.299999,60.6,12.88,53.41291,-8.24389
Israel,ISR,6.07,11.81,1.35,6.04,1.53,10.73,21.69,16.56,2.79,19.4,64.3,4.21,31.046051,34.851612
Italy,ITA,6.51,10.25,1.21,8.26,1.83,9.59,25.57,15.83,4.8,22.299999,58.5,7.84,41.87194,12.56738
Jamaica,JAM,27.55,15.46,8.19,9.53,2.7,5.14,19.31,16.52,2.75,14.7,55.5,4.22,18.109581,-77.297508
Japan,JPN,3.44,5.37,1.46,14.07,3.91,9.6,21.21,15.85,8.78,21.299999,27.2,7.96,36.204824,138.252924
Jordan,JOR,6.08,9.51,0.96,5.14,1.16,5.4,15.11,13.07,2.38,25.799999,69.6,0.69,30.585164,36.238414
Kazakhstan,KAZ,4.01,9.64,4.34,14.11,7.8,6.67,21.14,13.5,6.54,24.4,53.6,4.76,48.019573,66.923684
Kenya,KEN,11.36,10.29,6.81,9.83,13.72,3.43,6.31,8.14,3.34,9.5,25.5,2.78,-0.023559,37.906193
Kiribati,KIR,6.01,20.08,39.95,16.6,8.23,3,20.07,10.76,11.95,41.099998,78.7,0.46,-3.370417,-168.734039
Kuwait,KWT,6.19,5.46,0.71,3.45,1.53,5.56,10.75,10.14,2.36,24.4,73.4,0.003,29.31166,47.481766
Kyrgyzstan,KGZ,3.08,6.2,4.95,16.78,4.45,5.3,12.35,8.24,2.7,18.1,48.3,6.26,41.20438,74.766098
Laos,LAO,6.61,10.93,4.62,8.27,2.53,3.52,24.28,13.33,7.11,27.299999,25.4,10.72,19.85627,102.495496
Latvia,LVA,8.85,11.19,2.62,11.56,3.3,10.15,24.6,17.63,2.7,29.1,57.8,12.77,56.879635,24.603189
Lebanon,LBN,11.32,19.79,1.33,6.78,1.25,6.61,27.51,17.55,2.97,27,67.9,1.71,33.854721,35.862285
Lesotho,LSO,18.17,17.67,21.1,12.35,15.44,6.11,19.13,11.67,15.17,16.700001,38.7,4.59,-29.609988,28.233608
Liberia,LBR,14.99,9.22,9.95,12.33,5.21,5.07,9.99,6.68,5.29,6.3000002,30.9,6.12,6.428055,-9.429499
Libya,LBY,5.12,8.63,1.96,5.64,1.41,7.28,19.4,12.45,5.05,15.4,66.8,0.019,26.3351,17.228331
Lithuania,LTU,8.5,9.96,3.16,11.66,3.68,9.18,23.55,16.9,3.03,25.799999,59.6,13.22,55.169438,23.881275
Luxembourg,LUX,7.64,10.4,1.02,4.75,3.34,9.07,29.1,15.97,3.62,25.299999,58.7,12.94,49.815273,6.129583
Madagascar,MDG,10.46,9.56,11.23,7.02,10.31,2.43,6.8,7.11,2.62,13.6,23.9,1.97,-18.766947,46.869107
Malawi,MWI,7.11,10.97,14.04,3.6,25.76,3.11,6.36,6.06,3.04,9.6999998,23.4,3.63,-13.254308,34.301525
Malaysia,MYS,5.5,12.93,4.5,7.04,2.7,3.8,20.6,20.32,6.22,19.1,42.5,0.85,4.210484,101.975766
Maldives,MDV,4.41,6.18,1.86,3.6,2.01,4.49,10.19,8.71,5.63,20.200001,30.6,2.22,3.202778,73.22068
Mali,MLI,6.99,8.25,8.98,18.22,2.69,3.45,7.73,7.84,15.03,10.3,28.1,1.28,17.570692,-3.996166
Malta,MLT,5.46,11.07,0.94,4.93,2.15,8.68,20.73,14.08,2.2,22.1,66.4,7.99,35.937496,14.375416
Marshall Islands,MHL,16.28,19.35,10.39,16.99,2.87,4.01,32.4,12.29,10.57,17.700001,83.5,,7.131474,171.184478
Mauritania,MRT,15.46,9.09,9.05,11.29,4.46,6.47,11.58,8.35,4.43,13,34.4,0.036,21.00789,-10.940835
Mauritius,MUS,6.16,11.86,3.12,7.14,2.52,5.35,12.18,12.77,2,18.299999,32.3,4.35,-20.348404,57.552152
Mexico,MEX,8.78,6.72,5.08,8.86,1.51,6.01,9.74,9.24,3.69,9.8999996,64.9,5,23.634501,-102.552784
Micronesia,FSM,13.46,22.82,10.56,17.4,3.23,5.31,32.95,13.08,10.7,,75.9,2.48,7.425554,150.550812
Moldova,MDA,5.22,8.96,3.54,9.32,1.78,7.95,17.64,17.66,2.4,20.9,51.8,11.43,47.411631,28.369885
Monaco,MCO,10.18,17.37,1.43,6.62,5.27,17.81,64.23,24.27,7.63,,,,43.750298,7.412841
Mongolia,MNG,3.19,5.73,6.94,46.04,24.53,6.28,33.35,9.31,115.23,25.4,55.6,8.19,46.862496,103.846656
Montenegro,MNE,10.8,14.56,2.57,7.47,2.37,10.89,53.36,17.23,6.09,26.5,59.4,11.47,42.708678,19.37439
Morocco,MAR,4.95,12.6,3.95,4.84,1.65,3.96,16.98,8.48,2.31,13.5,60.4,0.69,31.791702,-7.09262
Mozambique,MOZ,4.83,12.53,16.02,7.59,8.37,3.91,8.99,8.66,3.99,11,26.4,2.3,-18.665695,35.529562
Myanmar,MMR,5.93,9.59,4.31,7.22,2.37,3.95,23.8,12.82,4.44,17.5,24.8,5.12,21.913965,95.956223
Namibia,NAM,15.92,17.83,9.36,3.8,2.74,4.11,8.28,8.68,3.46,14.6,40.6,5.43,-22.95764,18.49041
Nauru,NRU,17.63,21.75,10.07,17.94,3.31,6.08,40.44,16.55,9.39,,88.5,3.71,-0.522778,166.931503
Nepal,NPL,4.32,9.63,4.32,8.96,5.1,2.99,8.62,5.4,2.36,23.799999,21,2.05,28.394857,84.124008
Netherlands,NLD,10.82,13.15,1.2,6.86,6.98,11.1,38.1,21.75,2.75,20.799999,57.8,9.61,52.132633,5.291266
New Zealand,NZL,10.07,10.49,1.25,4.65,3.93,7.46,25.29,20.26,3.72,16.799999,65.6,10.63,-40.900557,174.885971
Nicaragua,NIC,13.74,6.77,9.25,15.03,1.32,5.97,9.15,10.86,4.1,10.9,58.2,5.18,12.865416,-85.207229
